Chemin,Nom,Taille,Lignes,Modifié,Type
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/profil_medecin.html,profil_medecin.html,20776,373,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/bons_attente.html,bons_attente.html,14162,307,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/detail_ordonnance.html,detail_ordonnance.html,11189,266,2025-10-16T20:01:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/mes_ordonnances.html,mes_ordonnances.html,2200,54,2025-10-16T21:07:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/creer_ordonnance.html,creer_ordonnance.html,19405,392,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/mes_rendez_vous.html,mes_rendez_vous.html,13197,284,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/detail_consultation.html,detail_consultation.html,3066,64,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/base_medecin.html.original,base_medecin.html.original,6839,N/A,2025-10-16T12:48:35,.original
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/partials/_stats_cards.html,_stats_cards.html,5514,124,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/partials/_sidebar.html,_sidebar.html,2666,71,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/medecin/partials/_medicament_form.html,_medicament_form.html,14673,268,2025-10-16T12:59:19,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/emails.py/remboursement_demande.html,remboursement_demande.html,0,1,2025-10-02T08:51:07,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/emails.py/paiement_annule.html,paiement_annule.html,0,1,2025-10-02T08:50:43,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/emails.py/bordereau_paiement.html,bordereau_paiement.html,0,1,2025-10-02T08:50:11,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/emails.py/rappel_paiement.html,rappel_paiement.html,0,1,2025-10-02T08:51:39,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/includes/navbar.html,navbar.html,1033,20,2025-09-26T20:17:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/includes/footer.html,footer.html,147,4,2025-09-26T20:17:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/includes/sidebar.html,sidebar.html,355,6,2025-09-26T20:17:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/detail_mon_paiement.html,detail_mon_paiement.html,5695,117,2025-10-14T10:15:26,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/mes_paiements.html,mes_paiements.html,6949,140,2025-10-14T10:15:26,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/liste_membres.html,liste_membres.html,226,8,2025-10-08T23:17:00,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/solde_remboursements.html,solde_remboursements.html,6714,136,2025-10-14T10:15:26,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/inscription.html,inscription.html,14956,274,2025-10-14T10:15:26,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/detail_membre.html,detail_membre.html,3485,73,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/mes_ordonnances.html,mes_ordonnances.html,2200,54,2025-10-16T21:07:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/creer_membre.html,creer_membre.html,16453,298,2025-10-06T16:13:32,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/selection_membre.html,selection_membre.html,2733,62,2025-10-06T15:54:59,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/liste_membres_admin.html,liste_membres_admin.html,226,8,2025-10-14T16:05:59,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/membres/analytics_dashboard.html,analytics_dashboard.html,13607,283,2025-10-14T11:15:10,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/liste_soins.html,liste_soins.html,13855,289,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/liste_paiements.html,liste_paiements.html,10967,231,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/detail_soin.html,detail_soin.html,2886,67,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/modifier_paiement.html,modifier_paiement.html,10771,217,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/enregistrer_paiement.html,enregistrer_paiement.html,7316,173,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/statistiques_paiements.html,statistiques_paiements.html,11250,248,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/base_assureur.html,base_assureur.html,13938,301,2025-11-16T17:23:51,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/historique_paiements_membre.html,historique_paiements_membre.html,9577,213,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/modifier_bon.html,modifier_bon.html,374,12,2025-10-08T23:36:28,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/recherche_membre.html,recherche_membre.html,11882,269,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/statistiques.html,statistiques.html,4748,133,2025-10-01T22:39:18,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/detail_bon.html,detail_bon.html,12237,253,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/liste_membres.html,liste_membres.html,8741,251,2025-10-15T12:02:33,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/creer_paiement.html,creer_paiement.html,4709,102,2025-10-03T13:19:39,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/liste_bons.html,liste_bons.html,28279,662,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/export_bons_pdf.html,export_bons_pdf.html,5323,173,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/creer_bon.html,creer_bon.html,19993,426,2025-10-01T10:43:59,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/detail_soins.html,detail_soins.html,5213,133,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/detail_membre.html,detail_membre.html,14370,304,2025-10-14T19:28:57,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/rapports.html,rapports.html,3716,105,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/mes_ordonnances.html,mes_ordonnances.html,2200,54,2025-10-16T21:07:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/valider_soin.html,valider_soin.html,1142,29,2025-10-01T22:08:09,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/rejeter_soin.html,rejeter_soin.html,3348,68,2025-10-01T22:08:09,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/creer_membre.html,creer_membre.html,376,12,2025-10-08T23:36:28,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/historique_paiements.html,historique_paiements.html,392,12,2025-10-08T23:36:28,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/selection_membre.html,selection_membre.html,2733,62,2025-10-05T20:39:54,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/partials/_filtres_paiements.html,_filtres_paiements.html,0,1,2025-10-02T08:43:40,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/partials/_liste_paiements.html,_liste_paiements.html,0,1,2025-10-02T08:44:30,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/partials/_stats_paiements.html,_stats_paiements.html,0,1,2025-10-02T08:44:08,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/detail_paiement.html,detail_paiement.html,0,1,2025-10-02T08:41:16,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/rapport_statistiques.html,rapport_statistiques.html,7871,194,2025-10-01T06:06:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/assureur/dashboard_soins.html,dashboard_soins.html,6079,139,2025-10-12T20:51:55,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/inscription/inscription.html,inscription.html,9662,180,2025-09-29T09:45:51,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/inscription/success.html,success.html,2775,59,2025-09-29T09:45:51,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/paiements/pdf/releve_paiements.html,releve_paiements.html,0,1,2025-10-02T08:53:09,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/paiements/pdf/journal_paiements.html,journal_paiements.html,0,1,2025-10-02T08:54:05,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/paiements/pdf/bordereau_paiement.html,bordereau_paiement.html,0,1,2025-10-02T08:52:39,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/paiements/pdf/etat_remboursements.html,etat_remboursements.html,0,1,2025-10-02T08:53:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/base_pharmacien.html,base_pharmacien.html,5410,158,2025-10-13T22:28:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/liste_ordonnances.html,liste_ordonnances.html,14276,322,2025-10-14T20:00:15,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/refuser_ordonnance.html,refuser_ordonnance.html,10725,238,2025-10-13T21:29:05,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/historique_validation.html,historique_validation.html,4498,97,2025-10-13T16:25:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/profil.html,profil.html,10647,245,2025-10-13T21:29:05,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/valider_ordonnance.html,valider_ordonnance.html,5873,133,2025-10-13T16:01:02,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/_sidebar_mobile.html,_sidebar_mobile.html,2225,43,2025-10-13T22:28:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/detail_ordonnance.html,detail_ordonnance.html,8533,203,2025-10-13T19:00:32,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/stock.html,stock.html,0,1,2025-10-17T09:24:13,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/_sidebar_pharmacien.html,_sidebar_pharmacien.html,3975,102,2025-10-13T22:28:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/filtre_ordonnances.html,filtre_ordonnances.html,11891,229,2025-10-13T22:55:49,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/recherche_ordonnances.html,recherche_ordonnances.html,11764,226,2025-10-13T22:55:49,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/pharmacien/_navbar_pharmacien.html,_navbar_pharmacien.html,5061,100,2025-10-13T22:28:42,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/errors/403.html,403.html,1283,47,2025-10-06T15:41:34,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/errors/500.html,500.html,1273,47,2025-10-06T15:42:13,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/errors/404.html,404.html,413,13,2025-10-06T15:41:47,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/templates_backup/errors/400.html,400.html,1288,47,2025-10-06T15:42:01,.html
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_finale_template.py,correction_finale_template.py,2832,70,2025-11-17T12:56:50,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_vues_rapide.py,test_vues_rapide.py,1232,38,2025-11-14T20:26:47,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_button.py,analyze_button.py,10105,280,2025-10-26T20:19:28,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_vue_medecin.py,correction_vue_medecin.py,5454,95,2025-11-17T13:22:52,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_permissions_acces_corrige.py,diagnostic_permissions_acces_corrige.py,14453,376,2025-11-28T18:25:15,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyse_creation_membres_corrige.py,analyse_creation_membres_corrige.py,14753,391,2025-11-14T19:15:06,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/RAPPORT_FINAL_AGENTS_OPTIMISE.md,RAPPORT_FINAL_AGENTS_OPTIMISE.md,2178,78,2025-10-27T14:49:00,.md
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/project_analyzer.py,project_analyzer.py,20829,491,2025-10-27T12:34:59,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/reparer_donnees_test.py,reparer_donnees_test.py,2673,74,2025-11-05T20:21:20,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/RESUME_FINAL_MESSAGERIE_AGENT.md,RESUME_FINAL_MESSAGERIE_AGENT.md,1569,60,2025-10-27T13:27:50,.md
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_api_public.py,test_api_public.py,395,14,2025-12-02T19:13:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verificateur_corrections_corrige.py,verificateur_corrections_corrige.py,2167,63,2025-10-15T09:06:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_communication3.py,diagnostic_communication3.py,10092,284,2025-12-04T19:31:55,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnose_message_api.sh,diagnose_message_api.sh,4328,130,2025-12-01T11:20:36,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verification_corrigee1.py,verification_corrigee1.py,3589,93,2025-11-30T21:34:59,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_permissions.txt,diagnostic_permissions.txt,521,14,2025-12-05T23:58:11,.txt
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_projet.sh,check_projet.sh,1357,49,2025-12-02T11:09:52,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_urls_assureur.py,correction_urls_assureur.py,17264,469,2025-12-03T11:52:03,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_acces_agents.py,verifier_acces_agents.py,2043,61,2025-12-03T20:07:39,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/checklist_validation.py,checklist_validation.py,1885,62,2025-10-08T20:44:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_base_donnees.py,verifier_base_donnees.py,5243,143,2025-11-05T21:04:37,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/corrector_automatico.py,corrector_automatico.py,7868,267,2025-12-03T13:27:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/inspect_models1.py,inspect_models1.py,2099,67,2025-10-27T19:10:01,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/install_dashboard_system.py,install_dashboard_system.py,6595,197,2025-10-04T15:57:18,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_finale_complete.py,correction_finale_complete.py,13045,373,2025-11-30T21:12:45,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/analyze_redirects.py,analyze_redirects.py,4431,118,2025-10-04T22:48:52,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/deploy_communication_access.sh,deploy_communication_access.sh,20,1,2025-10-22T10:24:46,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_manuel_corrige.py,test_manuel_corrige.py,6110,184,2025-11-05T21:14:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_template.py,check_template.py,1861,58,2025-12-01T19:22:21,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_url_dashboard.py,correction_url_dashboard.py,1120,35,2025-11-12T09:54:19,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/remove_unnecessary_fields.py,remove_unnecessary_fields.py,9993,287,2025-12-04T22:09:20,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/detect_project.py,detect_project.py,970,28,2025-11-20T14:45:55,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/quick_check.p,quick_check.p,1618,N/A,2025-10-14T19:09:23,.p
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/modification_directe_modele.py,modification_directe_modele.py,3797,111,2025-11-30T21:17:08,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnostic_projet.py,diagnostic_projet.py,13590,391,2025-12-01T00:25:41,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_assureur_corrige.py,test_assureur_corrige.py,3902,106,2025-11-18T19:18:52,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_api_finale_fonctionnelle.py,test_api_finale_fonctionnelle.py,4972,122,2025-11-05T17:37:08,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_system_corrige1.py,check_system_corrige1.py,2548,78,2025-12-03T19:34:18,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_middlewares.py,verifier_middlewares.py,1531,48,2025-11-06T15:05:03,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_utilisateurs.py,correction_utilisateurs.py,1643,49,2025-11-16T21:04:17,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/smart_update_member_model.py,smart_update_member_model.py,11655,338,2025-10-27T16:12:50,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/final_fix_cotisations.py,final_fix_cotisations.py,10997,283,2025-11-30T22:50:53,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_interface_medecin_complet.py,test_interface_medecin_complet.py,4439,119,2025-11-27T23:54:01,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/verifier_compatibilite_membre.py,verifier_compatibilite_membre.py,2839,84,2025-10-20T20:45:54,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_urls_manquantes2.py,correction_urls_manquantes2.py,9955,270,2025-11-14T16:20:35,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_with_session.py,test_with_session.py,300,9,2025-12-02T19:15:02,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_membres_view.py,test_membres_view.py,1288,43,2025-12-03T21:49:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_config.py,check_config.py,530,16,2025-10-04T11:46:13,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/python analyse_nameerror.py,python analyse_nameerror.py,12264,300,2025-11-01T12:49:24,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/debug_csrf_issue.py,debug_csrf_issue.py,3525,102,2025-10-17T23:23:05,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/check_admin_issues.py,check_admin_issues.py,1315,34,2025-11-18T20:48:57,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/ultimate_final_fix.sh,ultimate_final_fix.sh,2555,87,2025-10-08T23:24:48,.sh
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/corriger_affichage_cotisations.py,corriger_affichage_cotisations.py,19991,508,2025-11-27T13:09:15,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/test_sans_erreurs.py,test_sans_erreurs.py,960,30,2025-12-03T18:51:43,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_rapide_assureur.py,correction_rapide_assureur.py,18582,469,2025-11-14T15:14:56,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/correction_urls.py,correction_urls.py,15063,450,2025-11-19T15:38:39,.py
/Users/koffitanohsoualiho/Documents/P FINALE AVANT SYNCHRO/pf erreur/projet 21.49.30/diagnose_medecin_final.py,diagnose_medecin_final.py,12737,309,2025-10-25T19:01:46,.py
